,시군구,소멸지수,병상 비율,병원,보건지소,약국,요양병원,인구 수,종합병원,고등학교,보육시설 비율,유치원,중학교,초등학교,전규모W,1인당 자동차 등록대수,소규모C,중규모C,대규모C,소규모W,중규모W,대규모W
64,충청북도 영동군,0.17,16.4,1,10,24,2,44956,0,17.35,17.8,10.22,17.52,11.69,10361,0.5977,4141,174,11,21867,12484,8012
65,충청북도 진천군,0.53,10.3,1,6,37,1,86147,1,21.4,15.2,14.4,22.47,19.47,48307,0.6579,2005,92,0,10146,4964,0
66,충청북도 괴산군,0.13,10.5,2,12,11,0,37055,0,20.59,18.6,8.42,13.28,9.21,10712,0.6702,7167,228,6,33595,14546,3089
67,충청북도 음성군,0.32,20.5,2,8,43,2,92058,0,20.09,23.5,12.3,18.62,15.92,66463,0.706,2846,103,1,13306,5799,348
68,충청북도 단양군,0.15,7,0,7,10,1,27767,0,21.19,24.9,7.5,13.61,9.38,9459,0.6273,1212,33,1,5641,2317,468
69,충청북도 증평군,0.49,6.6,0,1,25,1,37262,0,17.16,17.7,14.59,21.62,20.3,11518,0.5852,9295,358,8,46038,24468,3608
70,충청남도 천안시,1.02,14.8,24,12,300,19,657559,2,27.44,19.3,16.02,27.75,21.69,244885,0.5432,1107,33,0,5147,1726,0
71,충청남도 공주시,0.29,36.5,0,10,56,8,102571,1,19.06,21.1,11.86,20.23,13.95,35806,0.5827,9781,550,22,49363,39121,15298
72,충청남도 보령시,0.25,10.3,2,10,49,2,97157,1,18.84,19.2,13,20.88,13.38,28100,0.5779,1985,47,1,9239,3484,1771
73,충청남도 아산시,0.8,10.6,7,11,119,7,334539,1,28.63,20.9,15.72,26.08,20.95,161541,0.6079,2727,166,1,14313,11421,3506
74,충청남도 서산시,0.43,5.4,1,10,74,1,176413,2,24.21,18.2,13.6,24.56,19.56,61168,0.6041,1725,33,0,7615,1653,0
75,충청남도 논산시,0.26,25.2,2,13,70,10,112617,1,17.91,22.2,10.53,21.2,15.06,33952,0.5802,1957,97,1,11333,5887,336
76,충청남도 계룡시,0.7,6.2,1,2,17,1,44475,0,27.06,20.3,15.67,27.18,20.47,6822,0.6031,1329,44,0,5806,2797,0
77,충청남도 당진시,0.42,7,4,11,71,4,168253,1,24.4,18.6,14.86,25.6,19.46,75791,0.6533,1125,22,0,4248,967,0
78,충청남도 금산군,0.17,11.9,1,9,36,3,50092,0,18,26.5,9.81,19.44,11.69,20415,0.6523,1161,42,0,5507,2218,0
79,충청남도 부여군,0.15,18,1,15,34,3,62343,0,16.45,19.5,9.06,18.48,10.05,11045,0.5876,2249,56,3,10673,3133,1172
80,충청남도 서천군,0.13,19.8,1,10,28,4,49964,0,17.8,22.4,7.04,17.36,10.3,17836,0.5802,2213,106,3,11057,6435,2841
81,충청남도 청양군,0.16,7,0,9,13,2,30266,0,17.56,24,6.58,16.13,9.47,6590,0.6248,1778,50,1,8013,3272,750
82,충청남도 홍성군,0.32,15.5,0,10,45,3,98068,1,20.79,17,15.98,23.22,18.01,26608,0.5828,8993,393,12,44197,26160,7237
83,충청남도 예산군,0.2,6.7,2,12,39,1,77385,1,20.6,15.5,10.65,20.28,12.77,24769,0.6317,3283,166,3,16136,10656,1336
84,충청남도 태안군,0.17,5.7,0,6,31,1,61335,0,17.45,18.5,8.97,18.95,11.92,16736,0.6043,2370,76,2,11236,3948,745
85,전라북도 전주시,0.71,25.6,26,0,382,34,651495,5,24.54,18.4,15.68,26.22,21.87,180468,0.5287,896,24,1,3964,1442,331
86,전라북도 군산시,0.43,17.9,7,14,138,9,262467,2,22.99,18.8,14.35,25.19,19,77594,0.5507,1741,58,1,8017,3291,662
87,전라북도 익산시,0.44,19.1,7,14,155,11,273697,1,21.18,21.3,12.34,23.2,17.49,84632,0.5393,817,25,0,3822,1388,0
88,전라북도 정읍시,0.25,22.3,4,15,61,5,105081,1,17.81,20.5,11.31,18.82,13.08,28762,0.5833,3604,215,13,18463,14842,10437
89,전라북도 남원시,0.23,19.2,1,15,41,4,77948,1,16.87,23.1,7.18,20.13,12.91,15929,0.5715,9702,426,16,46509,27327,10796
90,전라북도 김제시,0.21,44.7,4,14,44,4,81455,0,17.57,18.8,8.84,19.39,10.89,28128,0.6234,966,32,2,4653,2505,2018
91,전라북도 완주군,0.36,21.1,2,12,42,6,92422,0,16.92,22.5,11.76,19.53,13.99,43742,0.6777,649,25,0,3218,1125,0
92,전라북도 진안군,0.15,10.7,2,10,9,0,24550,0,15.61,10.5,6.63,10.7,7.73,4889,0.6292,23654,818,22,111729,52777,15962
93,전라북도 무주군,0.16,2.5,0,5,13,0,23489,0,16.78,13.9,6.57,15.71,10.91,5737,0.6108,3782,146,2,18300,9646,816
94,전라북도 장수군,0.15,1.8,0,5,9,0,21336,0,16.19,15.2,6.69,12.71,9.92,4343,0.6093,824,20,0,3711,1178,0
95,전라북도 임실군,0.15,16,1,11,14,1,26508,0,16.35,12.3,5.87,11.78,7.71,9176,0.5924,6749,196,5,31383,13537,3161
96,전라북도 순창군,0.17,26.2,1,10,13,2,26727,0,18.91,14.5,7.57,15.97,8.11,5210,0.6012,20831,600,25,101532,39910,13503
97,전라북도 고창군,0.16,20,1,12,24,5,52338,1,17.15,17.8,9.44,15.78,10.44,12035,0.626,974,32,1,4825,1657,340
98,전라북도 부안군,0.17,19.1,4,11,30,2,50094,1,16.14,16.3,10.07,15.13,10.51,11970,0.5851,3960,200,6,19560,12328,3918
99,전라남도 목포시,0.52,34.4,17,1,122,10,216939,5,21.29,23.1,14.45,26.75,20.83,51230,0.481,2280,95,2,11675,5493,3247
100,전라남도 여수시,0.43,20,7,12,126,12,274765,3,20.59,14.4,14.04,24.97,18.52,103782,0.5302,4318,183,3,20725,11945,1282
101,전라남도 순천시,0.61,22.8,17,9,128,7,278737,6,21.46,17.1,14.57,26.15,20.38,74114,0.5528,6055,383,13,31853,28719,15219
102,전라남도 나주시,0.43,33.8,1,13,54,7,116456,2,18.57,17.1,14.72,18.97,17.78,42363,0.6308,3250,132,8,15793,8351,3956
103,전라남도 광양시,0.68,10.8,3,8,50,5,152168,2,21.79,17.6,12.35,24.25,18.8,69504,0.6485,1573,59,1,7282,3335,428
104,전라남도 담양군,0.21,37,1,11,22,6,45792,0,18.6,14.1,9.72,16.73,11.63,15110,0.6727,5278,304,16,27049,20871,13248
105,전라남도 곡성군,0.15,9.8,1,8,15,1,27060,0,15.63,24.6,6.53,19.08,10.47,8422,0.6164,1615,87,3,8292,6305,3239
106,전라남도 구례군,0.15,25.3,1,7,11,3,24655,0,14.92,16.7,7.13,14.87,10.45,5263,0.5863,12329,709,32,63667,49992,47882
107,전라남도 고흥군,0.11,22,3,16,32,1,61880,1,16.73,17.1,8.67,13.96,10.27,13182,0.5664,2743,169,0,14084,10685,0
108,전라남도 보성군,0.12,32.2,2,10,27,3,38471,0,16.78,17.6,5.95,15.02,8.89,8426,0.6078,24218,1164,58,121386,82569,40930
109,전라남도 화순군,0.28,68.5,3,12,33,12,62024,0,21.37,22.8,9.25,19.25,13.63,20333,0.5937,1101,33,1,4173,1994,423
110,전라남도 장흥군,0.16,15.7,2,8,17,1,35650,1,15.61,19.6,8.24,15.52,10.85,8603,0.6035,1933,51,7,9060,3190,4486
111,전라남도 강진군,0.17,14,1,10,14,1,33177,0,18.02,20.6,7.53,13.96,9.57,6989,0.6237,3464,138,4,16857,7950,1801
112,전라남도 해남군,0.17,20.9,1,13,34,1,65831,2,16.61,12.6,11.11,19.62,12.17,14978,1.8916,1193,67,2,6217,3766,729
113,전라남도 영암군,0.25,9.9,2,10,24,1,52395,0,16.93,25.1,8.94,17.09,13.16,29240,0.7234,1024,53,2,5265,3343,851
114,전라남도 무안군,0.49,15,1,8,38,4,90608,1,24.24,15.2,13.89,24.97,18.18,19453,0.5954,1014,53,3,4924,2828,2255
115,전라남도 함평군,0.14,10.5,2,8,15,1,30784,0,17.73,21.1,4.45,14.49,9.51,7725,0.9266,1360,55,0,6466,3895,0
116,전라남도 영광군,0.26,22.9,0,8,27,1,52197,2,16.43,7,10.42,18.88,14.2,14494,0.5884,1918,81,2,10398,4586,767
117,전라남도 장성군,0.21,15.2,2,10,16,2,43146,0,19.26,13,10.74,18.88,12.5,17556,0.6844,5484,423,12,32738,28070,5655
118,전라남도 완도군,0.17,3,1,12,22,0,47597,0,17.74,17.5,9.8,14.44,11.41,9268,0.574,5202,188,7,24890,11901,2929
119,전라남도 진도군,0.17,6.8,2,6,14,1,29507,0,15.78,14.6,10.45,15.34,10.23,5215,0.6211,1148,51,4,5858,4084,1576
120,전라남도 신안군,0.12,10.1,2,16,11,2,37858,0,12.62,18.9,6.47,9.29,6.55,6873,3.273,3136,273,14,18653,21500,8154
121,경상북도 포항시,0.44,20.3,10,14,225,28,496650,5,20.74,18.1,16.8,22.83,21.83,164715,0.5731,28522,1261,64,144329,89855,52764
122,경상북도 경주시,0.33,16.1,10,12,111,11,249607,1,19.21,16.6,15.96,23.02,18.99,92554,0.6132,8300,401,13,40750,27766,7247
123,경상북도 김천시,0.34,14.8,0,15,52,3,139324,2,20.51,16,16.53,21.25,18.17,41894,0.5799,14878,646,21,75684,45455,13088
124,경상북도 안동시,0.32,33.4,3,14,65,8,154610,3,19.74,18.6,15.87,22.89,18.92,39411,0.5746,5246,238,13,24602,16647,7433
125,경상북도 구미시,1.02,9.9,4,8,164,10,408110,3,21.72,19.8,18.24,23.51,22.73,157193,0.5606,6173,188,12,25926,12084,15496
126,경상북도 영주시,0.24,23.6,4,10,44,4,100749,1,20.52,17.1,12.52,21.33,18.73,24950,0.5883,14708,599,26,70728,43275,14693
127,경상북도 영천시,0.23,20.7,1,11,44,4,101088,1,19.02,14.9,13.79,18.69,15.89,36902,0.6552,12711,511,21,63683,35681,23431
