,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
66,충청북도 괴산군,0.13,0.67873736,20.59,0,0,10.5,2,12,18.6,1193,6217,11,0,8.42,10712,0,69,4495,13.28,9.21
67,충청북도 음성군,0.32,0.712742507,20.09,1,2717,20.5,2,8,23.5,5484,32738,43,2,12.3,66463,0,431,31008,18.62,15.92
68,충청북도 단양군,0.15,0.628822064,21.19,0,0,7,0,7,24.9,1024,5265,10,1,7.5,9459,0,55,4194,13.61,9.38
69,충청북도 증평군,0.49,0.581741543,17.16,0,0,6.6,0,1,17.7,1148,5858,25,1,14.59,11518,0,55,5660,21.62,20.3
70,충청남도 천안시,1.02,0.544550803,27.44,26,28445,14.8,24,12,19.3,24218,121386,300,19,16.02,244885,2,1196,95054,27.75,21.69
71,충청남도 공주시,0.29,0.585363943,19.06,3,2817,36.5,0,10,21.1,3960,19560,56,8,11.86,35806,1,203,13429,20.23,13.95
72,충청남도 보령시,0.25,0.586267385,18.84,2,1462,10.3,2,10,19.2,3250,15793,49,2,13,28100,1,138,10845,20.88,13.38
73,충청남도 아산시,0.8,0.588106861,28.63,13,40360,10.6,7,11,20.9,12329,63667,119,7,15.72,161541,1,728,57514,26.08,20.95
74,충청남도 서산시,0.43,0.605445114,24.21,9,10799,5.4,1,10,18.2,5278,27049,74,1,13.6,61168,2,311,23320,24.56,19.56
75,충청남도 논산시,0.26,0.591742662,17.91,1,554,25.2,2,13,22.2,4318,20725,70,10,10.53,33952,1,185,12673,21.2,15.06
76,충청남도 계룡시,0.7,0.574817323,27.06,0,0,6.2,1,2,20.3,974,4825,17,1,15.67,6822,0,33,1997,27.18,20.47
77,충청남도 당진시,0.42,0.645412268,24.4,6,12506,7,4,11,18.6,6055,31853,71,4,14.86,75791,1,390,31432,25.6,19.46
78,충청남도 금산군,0.17,0.652286747,18,1,0,11.9,1,9,26.5,2088,11675,36,3,9.81,20415,0,96,5870,19.44,11.69
79,충청남도 부여군,0.15,0.60012122,16.45,0,0,18,1,15,19.5,1573,7282,34,3,9.06,11045,0,60,3763,18.48,10.05
80,충청남도 서천군,0.13,0.590255721,17.8,3,3239,19.8,1,10,22.4,1615,8292,28,4,7.04,17836,0,87,6305,17.36,10.3
81,충청남도 청양군,0.16,0.626856272,17.56,0,0,7,0,9,24,1101,4173,13,2,6.58,6590,0,34,2417,16.13,9.47
82,충청남도 홍성군,0.32,0.586050613,20.79,2,1090,15.5,0,10,17,3464,16857,45,3,15.98,26608,1,140,8661,23.22,18.01
83,충청남도 예산군,0.2,0.623873701,20.6,0,0,6.7,2,12,15.5,2743,14084,39,1,10.65,24769,1,169,10685,20.28,12.77
84,충청남도 태안군,0.17,0.609798631,17.45,4,3240,5.7,0,6,18.5,1933,9060,31,1,8.97,16736,0,54,4436,18.95,11.92
85,전라북도 전주시,0.71,0.535961614,24.54,10,11660,25.6,26,0,18.4,23654,111729,382,34,15.68,180468,5,830,57079,26.22,21.87
86,전라북도 군산시,0.43,0.556015847,22.99,7,5675,17.9,7,14,18.8,8993,44197,138,9,14.35,77594,2,398,27722,25.19,19
87,전라북도 익산시,0.44,0.546586381,21.18,4,6048,19.1,7,14,21.3,9702,46509,155,11,12.34,84632,1,438,32075,23.2,17.49
88,전라북도 정읍시,0.25,0.591507431,17.81,0,0,22.3,4,15,20.5,3782,18300,61,5,11.31,28762,1,148,10462,18.82,13.08
