,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,인구 수,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
17,대구광역시 동구,0.49488 ,-0.339680531,0.5751487010915772,-0.57132807,-0.593605497,-0.460742445,0.2678944267218219,-1.466935226,-0.379762467,-0.697932199,-0.686579515,1.3617284444090914,0.3610976617340451,1.008922081303041,1.1191072705987954,0.6608455840190803,0.4655818770366874,-0.657699946,-0.586068294,0.5423167347872875,1.1853257834465025
18,대구광역시 서구,0.36196 ,-0.442386532,0.664309148,-0.332133356,1.1573865842078912,0.820593209,0.2678944267218219,-1.466935226,1.1656232177957306,0.039460040865763636,0.044854476,0.4202289231991101,0.993989262,0.4635159570587548,0.022385575055458563,0.086355793,-0.15140874,0.47937111190820114,0.6976374014385056,-0.014094729,0.44893646194989323
23,대구광역시 달성군,0.73442 ,-0.199709521,1.2141319064477263,-0.491596498,-0.577139961,-0.497615413,-0.016579785,-0.020286053,-1.266928323,-0.387405832,-0.369482662,0.2525646249014422,0.5193205619024573,1.6189157728920462,0.6530357946342676,0.6446645554745933,-0.768399358,-0.145822597,-0.271969488,0.5266115724930668,1.2569191897031178
27,광주광역시 남구,0.57055 ,-0.513583907,0.5870367607261111,-0.730791213,-0.676403618,1.1801046510363675,0.9790799569442481,-1.466935226,-0.265289454,-0.817033473,-0.801562369,0.5234069529207519,0.5193205619024573,0.9897850243120139,0.3431087602231711,-0.037379357,1.6995631121095336,-0.774923767,-0.785190585,0.8407148183774797,1.261010241
31,대전광역시 중구,0.50358 ,-0.530550091,-0.004394206,-0.491596498,-0.542891648,0.7929384823971298,-0.301053997,-1.260271059,0.7077311629664997,-0.248799566,-0.310478302,0.9877080866681399,0.993989262,0.5783382990049202,0.43299937893102686,0.33069836362703875,0.4655818770366874,-0.407622463,-0.486989766,0.8474456022178602,0.5389396012439228
33,대전광역시 유성구,1.21145 ,-0.185167078,0.5365125072793453,-0.57132807,-0.608471523,-0.368560024,1.2635541690332186,-1.053606891,0.19260260128361417,-0.28522039,-0.185592619,0.9103245643769086,0.5193205619024573,0.9562951745777155,1.2201907329966648,1.967151770000493,-0.15140874,-0.223971811,-0.256412172,0.8766123321928413,0.9971374012862583
34,대전광역시 대덕구,0.56222 ,-0.216069769,0.29875131458868526,-0.730791213,-0.676403618,-0.313250571,-0.158816891,-1.466935226,1.280096231503039,-0.779404375,-0.773022965,0.14938659517980044,-0.430016839,0.8055908507733733,0.10122982131024769,0.40565539641524334,0.4655818770366874,-0.79446107,-0.773494209,0.39872667952584123,0.3016585976505708
35,울산광역시 중구,0.53207 ,-0.357858584,0.9139584006757677,-0.730791213,-0.676403618,-0.534488382,-0.016579785,-1.466935226,-0.522853734,-0.763696815,-0.742214162,0.084900327,-0.113571039,0.9945692885597707,0.31718945425180417,-0.250408474,0.4655818770366874,-0.704589474,-0.738348301,0.8676379537390011,1.0462300227193653
37,울산광역시 동구,0.61022 ,-0.583569413,0.9525945944879997,0.38545078684486883,0.38670543770422133,-0.414651234,-0.58552821,-1.466935226,-0.093579933,0.621848013,0.7306941907357088,-0.056969464,-0.430016839,1.4179766744862565,-0.027146115,0.20962087964667062,-0.768399358,0.9990633825016848,0.9336657342948944,1.1750104157830343,1.0687308075428728
38,울산광역시 북구,1.05358 ,-0.146993166,0.9971748181174991,-0.651059641,-0.646765654,-0.847908613,-0.158816891,-1.466935226,-0.608708495,-0.595056315,-0.556432954,-0.224633763,-0.113571039,1.4371137314772846,0.3815025332078354,0.7075084160563105,0.4655818770366874,-0.642070104,-0.695594071,1.1256513342869117,1.353058906676286
40,세종특별자치시,1.15573 ,-0.326046991,0.8842382515894359,-0.730791213,-0.676403618,-1.059928182,-0.58552821,0.599706449,-1.037982296,-0.818414357,-0.813493903,1.0650916089593714,-0.271793939,0.2936745762633846,1.3880101527283926,0.8147009504029735,0.4655818770366874,-0.813998374,-0.800123338,0.7330222769313951,0.804857967
41,강원특별자치도 춘천시,0.57617 ,-0.307263003,0.9615106392138998,0.22598764406386984,0.020323752380659987,-0.26715936,-0.301053997,0.599706449,0.47878513555188384,-0.250698282,-0.221112143,0.7813520272248564,0.3610976617340451,0.9658637030732291,0.7964677534143632,0.5940785019913815,0.4655818770366874,-0.169267361,-0.149952436,1.1211641450599916,0.8253132262703826
42,강원특별자치도 원주시,0.65548 ,-0.23939827,1.6034658594786815,-0.57132807,-0.508078801,-0.193413423,1.8325025932111594,0.393042282,-0.122198186,-0.602305958,-0.60030799,1.4649064741307332,0.044651861,0.6788078482078151,1.248960125120287,1.2629606394890194,-0.15140874,-0.626440261,-0.635465612,1.2871901464560391,0.7639474494789984
43,강원특별자치도 강릉시,0.38629 ,-0.175472116,0.7356375061577735,-0.651059641,-0.622208484,-0.469960687,-0.58552821,-0.020286053,0.049511334149479364,-0.799599808,-0.788014748,0.22677011747103176,-0.588239739,0.4587316928109976,0.33701799795346915,0.24303153970277339,1.0825724945731106,-0.817905834,-0.810173137,1.0359075497485082,0.4080259440889699
44,강원특별자치도 동해시,0.35200 ,-0.20728371,0.2006748226037886,-0.491596498,-0.430455563,-0.211849908,-0.443291104,-1.260271059,1.1656232177957306,-0.477508535,-0.490826708,-0.443887076,-0.430016839,0.25540046228132934,-0.40726949,-0.475731556,-0.15140874,-0.513123901,-0.534115943,1.0628306851100295,0.784402708
