,시군구,병상 비율,인구 수,상급종합병원,종합병원,병원,요양병원,보건의료원,보건소,보건지소,약국
150,경상남도 의령군,18.4,26061.0,0,0,1,1,0,1,11,11
151,경상남도 함안군,25.0,61456.0,0,0,3,3,0,1,6,26
152,경상남도 창녕군,39.9,58372.0,0,0,2,7,0,1,13,29
153,경상남도 고성군,19.2,50448.0,0,0,2,2,0,1,13,16
154,경상남도 남해군,7.3,41579.0,0,0,1,1,0,1,9,19
155,경상남도 하동군,13.2,42465.0,0,0,0,2,0,1,12,16
156,경상남도 산청군,6.7,34028.0,0,0,0,1,1,0,9,15
157,경상남도 함양군,4.3,37708.0,0,0,1,0,0,1,10,19
158,경상남도 거창군,13.7,60387.0,0,0,3,3,0,1,11,33
159,경상남도 합천군,19.1,42142.0,0,0,1,2,0,1,16,17
160,제주특별자치도 제주시,9.4,493389.0,0,5,5,11,0,3,6,240
161,제주특별자치도 서귀포시,3.0,184770.0,0,1,3,0,0,3,5,74
162,경상남도 창원시,20.6,1021487.0,1,9,44,36,0,3,10,431
