,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,인구 수,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
49,강원특별자치도 횡성군,0.17,0.059024771,-0.786034127,-0.491596498,-0.509301956,-1.161328845,-0.58552821,0.186378114,0.707731163,-0.362549914,-0.417346338,-0.727626657,-0.746462639,-0.644041216,-0.669050208,-0.661677789,-0.768399358,-0.454511991,-0.46836641,-1.162815171,-0.870427739
50,강원특별자치도 영월군,0.18,-0.066403797,-1.196172184,-0.491596498,-0.435630446,-0.783380918,-0.58552821,-0.020286053,-0.351144214,-0.322331657,-0.261548697,-0.740523911,-0.746462639,-0.68231533,-0.72278074,-0.719857175,-0.15140874,-0.087210687,-0.091470554,-1.49262358,-1.072934802
51,강원특별자치도 평창군,0.18,0.19051269,-0.881138604,-0.730791213,-0.676403618,-1.198201813,-0.727765316,-0.226950221,-0.208052947,-0.723305948,-0.728907235,-0.70183215,-0.588239739,-0.926312807,-0.702872858,-0.702446749,-0.768399358,-0.751479003,-0.748625215,-0.871147872,-1.30817028
52,강원특별자치도 정선군,0.18,0.012367768,-1.371521064,-0.730791213,-0.676403618,-1.041491698,-0.443291104,-0.020286053,0.020893081,-0.869507078,-0.8760399,-0.779215672,-0.90468554,-1.11050698,-0.739850742,-0.692014958,-0.768399358,-0.923407273,-0.901302671,-1.133648441,-1.377718161
53,강원특별자치도 철원군,0.32,-0.071554245,-0.863306515,-0.651059641,-0.418882644,-0.893999824,-0.58552821,-0.640278556,-0.980745789,-0.683605523,-0.711749207,-0.688934896,-0.746462639,-0.278045001,-0.6951465,-0.759667929,-0.768399358,-0.743664081,-0.73954065,0.154174867,-0.604509373
54,강원특별자치도 화천군,0.34,-0.111242995,-1.520121809,-0.651059641,-0.638768108,-1.391784898,-0.727765316,-0.640278556,1.365950992,-0.722615506,-0.730832785,-0.856599195,-0.90468554,-1.136820434,-0.810297304,-0.857658068,-0.768399358,-0.724126778,-0.759129242,-0.765698925,-1.087253484
55,강원특별자치도 양구군,0.36,-0.059132575,-0.313483757,-0.730791213,-0.676403618,-0.87556334,-0.301053997,-0.640278556,-0.837654522,-0.735216076,-0.741835929,-0.856599195,-0.90468554,-0.024478996,-0.822533755,-0.855795894,-0.768399358,-0.759293924,-0.771393403,-1.461213255,-0.831562747
56,강원특별자치도 인제군,0.37,0.040846718,-0.384812114,-0.651059641,-0.480793057,-1.198201813,-0.58552821,-0.433614388,-0.522853734,-0.839300233,-0.831202088,-0.779215672,-0.746462639,-0.579453649,-0.75648133,-0.801196222,-0.768399358,-0.845258059,-0.839868306,-0.545826653,-0.786561177
59,충청북도 충주시,0.4,-0.059435543,0.795077804,-0.730791213,-0.676403618,-0.304032329,-0.301053997,1.219698952,-0.208052947,-0.759726773,-0.777424222,0.188078356,0.202874762,0.599867488,0.318074385,0.452227832,0.465581877,-0.802275992,-0.792742129,0.591675816,0.563485912
60,충청북도 제천시,0.34,-0.184561143,0.527596463,-0.730791213,-0.676403618,-0.082794518,-0.58552821,0.186378114,-0.436998974,-0.621638339,-0.620251188,-0.263325524,-0.113571039,0.090343346,-0.153617925,-0.199406595,0.465581877,-0.673329789,-0.70064736,0.412188247,0.467346195
62,충청북도 보은군,0.14,0.052359485,-0.586909128,0.225987644,0.548632217,0.682319577,-0.58552821,0.186378114,-1.209691817,0.006146206,0.059089794,-0.753421165,-0.430016839,-0.921528543,-0.761064659,-0.736598663,-0.768399358,0.393406977,0.636203036,-1.180763928,-1.392036842
63,충청북도 옥천군,0.19,-0.051255419,0.185814748,-0.730791213,-0.676403618,0.000169661,-0.727765316,0.186378114,-0.036343426,-0.829288822,-0.828760766,-0.714729404,-0.430016839,-0.60337497,-0.650814539,-0.632750811,-0.15140874,-0.813998374,-0.805971526,-0.415698165,-0.618828054
64,충청북도 영동군,0.17,-0.080037337,-0.771174053,0.146256073,0.077435638,-0.04592155,-0.58552821,0.599706449,0.135366094,-0.248626955,-0.198933931,-0.650243135,-0.588239739,-0.67035467,-0.678668486,-0.730198569,-0.768399358,-0.247416575,-0.194410022,-0.62210887,-0.847926954
65,충청북도 진천군,0.53,0.102349131,0.432491985,-0.730791213,-0.676403618,-0.608234318,-0.58552821,-0.226950221,-0.608708495,-0.617323075,-0.601958462,-0.482578837,-0.746462639,0.329556558,-0.427281122,-0.044159118,-0.15140874,-0.567828351,-0.621384538,0.488470464,0.743492191
66,충청북도 괴산군,0.13,0.139614141,0.191758778,-0.252401784,-0.385763396,-0.589797834,-0.443291104,1.013034785,0.364312122,0.273692548,0.204331294,-0.817907433,-0.90468554,-1.100938452,-0.726888038,-0.723852713,-0.768399358,-0.036413698,-0.077332701,-1.573392986,-1.355217376
67,충청북도 음성군,0.32,0.248076525,0.043158032,-0.651059641,-0.643660725,0.332026377,-0.443291104,0.186378114,1.76660654,-0.472157608,-0.493302415,-0.405195315,-0.588239739,-0.172791188,-0.391206477,0.28408977,-0.768399358,-0.524846283,-0.573974468,-0.375313462,0.017330499
69,충청북도 증평군,0.49,-0.117908281,-0.827642336,-0.092938641,-0.336931322,-0.949309276,-0.727765316,-1.260271059,0.106747841,0.641007783,0.632181668,-0.637345881,-0.746462639,0.375007068,-0.725624723,-0.709280748,-0.768399358,0.471556191,0.486023835,0.297764922,0.91327084
71,충청남도 공주시,0.29,-0.12548247,-0.262959503,1.023303358,0.762966444,1.806945115,-0.727765316,0.599706449,1.079768458,0.724896507,0.74651121,-0.237531016,0.361097662,-0.278045001,-0.327045973,-0.270169216,-0.15140874,1.221788641,1.317999577,-0.014094729,-0.385638102
72,충청남도 보령시,0.25,-0.140024912,-0.328343831,-0.651059641,-0.509772399,-0.608234318,-0.443291104,0.599706449,0.536021642,-0.620775286,-0.633145498,-0.327811792,-0.588239739,-0.005341939,-0.360087442,-0.409488776,-0.15140874,-0.743664081,-0.705416756,0.131738921,-0.502233078
74,충청남도 서산시,0.43,-0.060647413,1.267628175,-0.730791213,-0.676403618,-1.059928182,-0.58552821,0.599706449,0.249839108,-0.665654027,-0.688986453,-0.005380449,-0.746462639,0.138185988,0.123609406,0.188359551,0.465581877,-0.798368531,-0.809378237,0.957381738,0.761901924
75,충청남도 논산시,0.26,-0.133056659,-0.604741218,-0.651059641,-0.64478979,0.765283756,-0.443291104,1.219698952,1.394569245,-0.625608381,-0.561143675,-0.056969464,0.677543462,-0.596198574,-0.265735554,-0.303688352,-0.15140874,-0.548291047,-0.568977958,0.203533948,-0.158584728
