,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,요양병원,유치원,전규모W,종합병원,중학교
79,전라남도 진도군,0.17,-0.009142929,-1.237780393,-0.52811971,-0.930872792,-0.443291104,-0.226950221,-0.780418015,-0.76525031,-0.746462639,-0.615335631,-0.823234964,-0.768399358,-1.111212495
80,경상북도 경주시,0.33,-0.033077366,-0.21837928,0.005457726,-0.073576276,0.694605745,1.013034785,-0.208052947,0.469260293,0.835766362,0.702729169,0.755798391,-0.15140874,0.611868168
81,경상북도 김천시,0.34,-0.133965561,0.167982659,0.555030254,-0.193413423,-0.727765316,1.633027287,-0.379762467,1.604692444,-0.430016839,0.839080701,-0.160102063,0.465581877,0.214751921
82,경상북도 안동시,0.32,-0.150022842,-0.060862489,0.022958238,1.521179609,-0.301053997,1.42636312,0.364312122,-0.057892305,0.361097662,0.68119998,-0.204993118,1.082572495,0.582701438
83,경상북도 구미시,1.02,-0.192438299,0.527596463,0.781596022,-0.645107287,-0.158816891,0.186378114,0.707731163,0.102117668,0.677543462,1.248135294,1.924430239,1.082572495,0.721804304
84,경상북도 영주시,0.24,-0.108516287,0.170954674,0.706042736,0.617791882,-0.158816891,0.599706449,-0.06496168,1.575348652,-0.271793939,-0.120164281,-0.466438764,-0.15140874,0.232700678
85,경상북도 영천시,0.23,0.094169007,-0.274847563,1.528190442,0.350462861,-0.58552821,0.806370617,-0.694563255,1.230645398,-0.271793939,0.183636499,-0.250354236,-0.15140874,-0.3596083
86,경상북도 경산시,0.58,-0.211525255,0.961510639,0.415872958,-0.211849908,0.125657321,0.186378114,-0.465617228,0.475992104,0.677543462,1.121352291,0.671982471,-0.15140874,0.676932412
87,경상북도 영양군,0.12,0.084171078,-1.353688975,-0.230799185,-1.27194775,-0.58552821,-0.433614388,-0.265289454,0.2139693,-0.90468554,-1.758774786,-0.864871733,-0.768399358,-1.279482091
88,경상북도 영덕군,0.13,-0.130329951,-1.34477293,0.230423984,-0.645107287,-0.58552821,0.186378114,-0.637326748,1.007459966,-0.588239739,-1.828146618,-0.790059335,-0.768399358,-1.553200634
89,경상북도 청도군,0.12,0.102349131,0.060990122,-0.050242828,1.226195862,-0.443291104,0.186378114,-0.751799762,0.39538298,-0.113571039,-0.660786141,-0.765652197,-0.768399358,-0.918263359
90,경상북도 고령군,0.16,0.3304837,-0.52746883,0.767294528,-0.958527519,-0.58552821,-0.020286053,1.137004964,0.298030634,-0.746462639,-1.021998092,-0.638337334,-0.768399358,-1.263776929
91,경상북도 성주군,0.15,0.5125672,-0.257015473,0.146967242,0.166098019,-0.58552821,0.393042282,-1.667583871,0.176340201,-0.271793939,-1.265995569,-0.617383354,-0.768399358,-1.656405986
92,경상북도 봉화군,0.11,0.0232746,0.147178554,0.694752083,-0.820253887,-0.58552821,0.393042282,0.135366094,0.22984947,-0.746462639,-1.014821695,-0.791867271,-0.768399358,-1.524033904
93,경상북도 울진군,0.22,-0.068827537,-0.435336368,0.90061832,-0.884781582,-0.58552821,0.393042282,-1.123837056,1.285017719,-0.588239739,-0.842588183,-0.690207022,-0.768399358,-0.841981142
94,경상남도 진주시,0.56,-0.301506619,0.313611389,-0.323476627,0.25828044,1.263554169,1.013034785,0.078129588,0.139919377,0.202874762,1.140489348,0.850136499,1.082572495,1.047125523
95,경상남도 통영시,0.32,-0.525399642,1.365704667,0.698421545,-0.165758697,-0.016579785,-0.846942724,0.278457362,0.138883714,-0.430016839,0.250616198,-0.422632471,-0.15140874,0.690393979
