,병원,보건지소,약국,요양병원,종합병원,병상 비율,1인당 자동차 등록대수,소규모C,중규모C,대규모C,소규모W,중규모W,대규모W,전규모W,보육시설 비율,유치원,초등학교,중학교,고등학교,소멸지수
78,-0.2,0.125,-0.08839779005524862,-0.125,-0.5,-0.27966101694915246,0.6876314506715568,-0.21595528455284552,-0.1758957654723127,-0.14285714285714285,-0.1755033613872284,-0.20693384356217373,-0.2593412676446167,-0.12357012400269153,2.1395348837209296,-0.5693848354792558,-0.5900262467191603,-0.20689655172413796,-0.4017003188097768,-0.4225352112676056
79,-0.2,0.875,-0.11049723756906077,-0.125,-0.5,0.23728813559322043,0.07777448941435636,-0.3031842818428184,-0.2931596091205212,-0.2857142857142857,-0.32428496435405485,-0.2945739658507165,-0.2593412676446167,-0.27368707744560866,0.511627906976744,-0.6766809728183115,-0.7622047244094489,-0.33181522446324024,-0.7311370882040382,-0.4788732394366198
80,-0.2,0.25,-0.17679558011049723,0.0,-0.5,0.38983050847457645,-0.03756112756169665,-0.296070460704607,-0.20521172638436483,0.14285714285714285,-0.2900784041454287,-0.18884013060749122,0.1889011901466925,-0.16488833349354354,1.1860465116279062,-0.9656652360515018,-0.7359580052493438,-0.4775536759921929,-0.44420828905419746,-0.5352112676056339
81,-0.4,0.125,-0.3425414364640884,-0.25,-0.5,-0.6949152542372882,0.3903287471672449,-0.383130081300813,-0.3778501628664495,-0.2857142857142857,-0.42958020761011295,-0.35056048915417093,-0.2593412676446167,-0.34506071966419943,1.5581395348837206,-1.031473533619456,-0.8230971128608925,-0.6376057254391676,-0.49521785334750285,-0.4507042253521127
82,-0.4,0.25,0.011049723756906077,-0.125,0.0,0.025423728813559386,-0.0867222217578373,0.017107046070460704,-0.03257328990228013,0.0,0.0,-0.09084291745523365,-0.1084970938278439,-0.024351949758082605,-0.06976744186046527,0.31330472103004303,0.07349081364829428,0.2849707221860765,0.19128586609989334,0.0
83,0.0,0.5,-0.055248618784530384,-0.375,0.0,-0.7203389830508475,0.35546009364450926,-0.10501355013550136,0.06188925081433225,-0.2857142857142857,-0.09391563510744586,-0.006655158787929206,-0.2593412676446167,-0.05381460476144702,-0.4186046511627908,-0.4492131616595133,-0.4766404199475066,-0.09759271307742357,0.15090329436769406,-0.3380281690140845
84,-0.4,-0.25,-0.143646408839779,-0.375,-0.5,-0.8050847457627119,0.190911206413247,-0.24220867208672087,-0.3127035830618892,0.2857142857142857,-0.2640678712343149,-0.26658070419898927,0.18903957929698312,-0.18251145502899804,0.27906976744186024,-0.6895565092989981,-0.5658792650918636,-0.27065712426805494,-0.5185972369819342,-0.4225352112676056
85,4.8,-1.0,3.734806629834254,3.75,2.0,0.88135593220339,-0.6723029007866336,3.4368224932249323,2.214983713355049,1.1428571428571428,3.21311364367602,1.9230913212569931,1.3542762247439801,2.4406421224646735,0.25581395348837155,0.2703862660944206,0.47874015748031534,0.6753415744957708,0.9883103081827835,1.0985915492957745
86,1.0,0.75,1.0386740331491713,0.625,0.5,0.22881355932203387,-0.4378527897444532,0.9535907859078591,0.8078175895765473,0.7142857142857143,0.9259478773305336,0.7019944678992576,0.5260171602546361,0.7924957544298119,0.34883720930232553,0.08011444921316171,0.1774278215223099,0.5413142485361094,0.6588735387885222,0.30985915492957744
87,1.0,0.75,1.2265193370165746,0.875,0.0,0.3305084745762714,-0.5480908303002029,1.073678861788618,0.9381107491856677,0.2857142857142857,1.0042504191150323,0.8830563816733565,0.5776363133130362,0.9052516902175655,0.9302325581395348,-0.2074391988555077,0.018897637795275566,0.28236824983734526,0.27417640807651406,0.3380281690140845
88,0.4,0.875,0.1878453038674033,0.125,0.0,0.6016949152542375,-0.022927631057860675,0.07096883468834689,-0.006514657980456026,-0.2857142857142857,0.04887135285252231,-0.015930786348605536,-0.2593412676446167,0.010157326412252875,0.7441860465116276,-0.3547925608011442,-0.4440944881889764,-0.28757319453480823,-0.44208289054197686,-0.1971830985915493
89,-0.2,0.875,-0.03314917127071823,0.0,0.0,0.33898305084745767,-0.1553240477562344,-0.1681910569105691,-0.23452768729641693,-0.2857142857142857,-0.19037136131949267,-0.25589085539587797,-0.2593412676446167,-0.19544041782819058,1.3488372093023255,-0.9456366237482113,-0.46194225721784776,-0.11711125569290856,-0.6418703506907542,-0.2535211267605634
90,0.4,0.75,0.0,0.0,-0.5,2.5000000000000004,0.3520093540462417,-0.013550135501355014,0.05863192182410423,-0.14285714285714285,-0.024418742485563815,0.021920429257741823,-0.173539994464434,0.0,0.34883720930232553,-0.7081545064377679,-0.6740157480314961,-0.2134027325959663,-0.49309245483528147,-0.3098591549295775
91,0.0,0.5,-0.022099447513812154,0.25,-0.5,0.5000000000000002,0.5467046516482305,0.04081978319783198,0.24429967426710097,0.14285714285714285,0.05439181751985504,0.31832456377513885,0.6790755604760587,0.250152199685988,1.209302325581395,-0.29041487839771085,-0.34855643044619417,-0.19518542615484713,-0.6312433581296488,0.11267605633802812
92,0.0,0.25,-0.3867403314917127,-0.5,-0.5,-0.38135593220338987,0.44335252982864715,-0.43004742547425473,-0.4234527687296417,-0.2857142857142857,-0.4452271688144548,-0.4020963750181977,-0.2593412676446167,-0.37231247396584316,-1.5813953488372092,-1.0243204577968523,-1.0057742782152232,-1.3441769681197142,-0.9096705632306056,-0.4788732394366198
93,-0.4,-0.375,-0.3425414364640884,-0.5,-0.5,-1.076271186440678,0.27617349223552184,-0.4178523035230352,-0.40716612377850164,-0.2857142857142857,-0.4366585948216009,-0.37734750327558597,-0.2593412676446167,-0.35872664936396553,-0.7906976744186046,-1.0329041487839767,-0.6719160104986878,-0.6922576447625246,-0.6609989373007435,-0.4507042253521127
94,-0.4,-0.375,-0.3867403314917127,-0.5,-0.5,-1.1355932203389831,0.30545986859652996,-0.4596883468834688,-0.40716612377850164,-0.2857142857142857,-0.4619240343420317,-0.40430089636669925,-0.2593412676446167,-0.3810599506552597,-0.48837209302325607,-1.0157367668097277,-0.7758530183727036,-1.0826284970722189,-0.7863974495217849,-0.4788732394366198
